datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable
2020-12-01T00:00:00;1139;321;883;3875;0;58;1613;3173;1760;2484;18;404;14053;9295;893;9434;6294
2020-12-01T00:15:00;1135;320;850;3746;0;58;1631;3167;1653;2471;33;402;13953;9358;852;9324;6142
2020-12-01T00:30:00;1132;321;808;3620;0;58;1637;3185;1619;2379;43;402;13842;9415;913;9222;5982
2020-12-01T00:45:00;1134;320;760;3470;0;58;1650;3191;1588;2358;43;402;13617;9387;931;9189;5785
2020-12-01T01:00:00;1128;332;688;3361;0;58;1672;3209;1615;2359;106;390;13450;9401;695;9245;5673
2020-12-01T01:15:00;1126;317;617;3268;0;58;1687;3200;1659;2350;94;340;13370;9485;650;9236;5480
2020-12-01T01:30:00;1134;334;599;3178;0;58;1698;3204;1714;2357;86;314;13289;9511;678;9287;5389
2020-12-01T01:45:00;1140;342;645;3090;0;58;1705;3178;1763;2314;58;313;13094;9360;740;9273;5333
2020-12-01T02:00:00;1138;328;688;2990;0;58;1712;3155;1783;2273;60;312;12989;9312;844;9235;5262
2020-12-01T02:15:00;1137;319;730;2913;0;58;1712;3170;1758;2328;22;310;12896;9253;861;9278;5179
2020-12-01T02:30:00;1136;319;788;2851;0;58;1713;3176;1794;2335;7;312;12926;9287;847;9330;5159
2020-12-01T02:45:00;1139;318;753;2776;0;58;1723;3167;1771;2330;17;312;12939;9410;786;9303;5061
2020-12-01T03:00:00;1139;317;752;2695;0;58;1760;3173;1738;2333;7;313;12923;9476;1136;9317;4968
2020-12-01T03:15:00;1138;316;782;2602;0;58;1777;3160;1750;2344;2;313;12981;9597;1214;9344;4898
2020-12-01T03:30:00;1136;314;833;2485;0;58;1802;3160;1760;2383;2;312;12984;9667;1193;9417;4828
2020-12-01T03:45:00;1135;314;845;2387;0;58;1812;3150;1761;2391;8;312;13032;9800;1126;9426;4747
2020-12-01T04:00:00;1137;327;927;2261;0;58;1828;3110;1826;2437;13;309;13251;10063;917;9510;4723
2020-12-01T04:15:00;1141;324;989;2166;0;57;1847;3093;1862;2441;8;310;13358;10203;825;9553;4685
2020-12-01T04:30:00;1140;315;1028;2097;0;57;1863;3092;1958;2475;28;309;13413;10288;761;9697;4665
2020-12-01T04:45:00;1141;319;1018;1997;0;57;1871;3167;2068;2508;20;309;13547;10533;808;9923;4552
2020-12-01T05:00:00;1145;338;1036;1935;0;58;1885;3217;2149;2574;18;308;13887;10916;839;10133;4530
2020-12-01T05:15:00;1147;328;1095;1880;0;58;1891;3284;2218;2597;51;308;13974;10999;692;10298;4559
2020-12-01T05:30:00;1144;330;1153;1812;0;58;1906;3366;2288;2614;52;309;14163;11198;554;10483;4549
2020-12-01T05:45:00;1147;332;1160;1764;0;58;1924;3440;2460;2663;53;309;14482;11558;493;10796;4514
2020-12-01T06:00:00;1158;316;1194;1714;0;58;1931;3499;2624;2827;10;310;15240;12332;527;11191;4450
2020-12-01T06:15:00;1165;329;1211;1627;0;58;1935;3614;2834;2996;21;310;15831;12994;406;11689;4411
2020-12-01T06:30:00;1169;333;1175;1552;0;58;1934;3669;2962;3106;49;309;16227;13500;305;11980;4336
2020-12-01T06:45:00;1173;350;1211;1477;0;58;1936;3676;3169;3153;154;309;16654;13966;254;12243;4423
2020-12-01T07:00:00;1182;345;1182;1410;0;58;1935;3732;3410;3190;69;309;17133;14540;149;12576;4246
2020-12-01T07:15:00;1188;339;1137;1334;0;58;1936;3831;3590;3268;147;309;17406;14936;98;12934;4203
2020-12-01T07:30:00;1185;355;1146;1301;3;58;1936;3846;3634;3360;217;309;17486;15036;36;13085;4265
2020-12-01T07:45:00;1189;367;1138;1245;16;57;1936;3862;3644;3380;419;309;17596;15197;64;13131;4431
2020-12-01T08:00:00;1200;368;1142;1196;36;58;1937;3909;3661;3388;620;309;17739;15367;4;13204;4620
2020-12-01T08:15:00;1199;367;1149;1153;38;58;1938;3950;3675;3406;718;309;17871;15531;1;13278;4682
2020-12-01T08:30:00;1203;374;1220;1103;44;58;1939;3968;3636;3429;781;310;17924;15558;1;13282;4783
2020-12-01T08:45:00;1206;378;1238;1015;72;58;1939;3934;3625;3435;844;310;17992;15668;1;13243;4811
2020-12-01T09:00:00;1194;338;1286;963;111;58;1940;3919;3640;3426;501;312;17967;15608;6;13237;4451
2020-12-01T09:15:00;1186;344;1251;914;150;58;1940;3956;3633;3412;507;312;18075;15760;15;13253;4410
2020-12-01T09:30:00;1187;347;1216;881;194;57;1941;3974;3641;3406;646;359;18178;15886;52;13321;4528
2020-12-01T09:45:00;1186;342;1127;833;236;57;1942;3981;3642;3421;677;373;18195;15999;59;13359;4458
2020-12-01T10:00:00;1173;355;1083;783;279;58;1942;3983;3641;3426;777;373;18208;16063;24;13365;4508
2020-12-01T10:15:00;1176;346;1070;752;316;57;1942;3986;3641;3419;824;370;18191;16054;9;13358;4541
2020-12-01T10:30:00;1171;352;1030;712;354;58;1942;4004;3635;3396;858;370;18257;16161;4;13347;4535
2020-12-01T10:45:00;1172;356;969;687;386;57;1943;4002;3631;3359;798;370;18275;16232;3;13305;4425
2020-12-01T11:00:00;1177;345;933;653;410;57;1943;4001;3647;3302;554;380;18240;16244;3;13273;4129
2020-12-01T11:15:00;1170;356;879;648;439;57;1942;3995;3656;3230;767;382;18294;16328;3;13205;4316
2020-12-01T11:30:00;1172;373;818;616;459;57;1943;3988;3682;3234;886;383;18351;16459;1;13230;4381
2020-12-01T11:45:00;1175;349;799;608;478;57;1943;3985;3700;3253;960;383;18349;16464;1;13264;4426
2020-12-01T12:00:00;1167;372;746;618;490;57;1943;3973;3734;3252;861;384;18356;16504;2;13286;4311
2020-12-01T12:15:00;1165;366;686;641;510;57;1944;3952;3746;3251;853;384;18299;16462;1;13277;4278
2020-12-01T12:30:00;1158;350;646;668;511;57;1945;3948;3778;3256;794;384;18243;16419;1;13311;4184
2020-12-01T12:45:00;1161;351;628;689;504;57;1945;3950;3806;3252;705;384;18134;16313;1;13337;4095
2020-12-01T13:00:00;1163;359;597;691;486;57;1946;3957;3832;3197;426;386;18217;16443;2;13318;3779
2020-12-01T13:15:00;1163;364;559;696;454;57;1946;3951;3837;3179;381;386;18187;16479;42;13299;3674
2020-12-01T13:30:00;1164;365;533;715;415;57;1946;3955;3846;3161;350;386;18063;16401;48;13294;3599
2020-12-01T13:45:00;1162;357;530;736;364;57;1947;3954;3838;3161;241;386;17962;16332;51;13286;3447
2020-12-01T14:00:00;1162;364;518;727;317;57;1947;3954;3824;3156;330;387;17914;16353;50;13268;3475
2020-12-01T14:15:00;1164;367;537;719;268;57;1948;3959;3827;3152;366;385;17881;16357;49;13271;3478
2020-12-01T14:30:00;1166;371;546;431;221;57;1948;3935;3831;3170;335;384;17864;16667;49;13268;3127
2020-12-01T14:45:00;1169;382;518;430;174;57;1947;3870;3816;3168;496;384;17870;16749;41;13185;3226
2020-12-01T15:00:00;1175;392;526;433;131;57;1948;3861;3817;3188;523;390;17839;16750;51;13204;3237
2020-12-01T15:15:00;1176;389;537;438;90;57;1949;3868;3851;3232;401;390;17770;16705;8;13290;3088
2020-12-01T15:30:00;1182;372;533;713;51;57;1948;3858;3848;3288;312;390;17739;16443;10;13332;3220
2020-12-01T15:45:00;1183;372;492;721;21;57;1949;3863;3847;3323;433;390;17761;16529;4;13372;3279
2020-12-01T16:00:00;1192;393;471;720;6;57;1950;3858;3863;3354;700;391;17805;16609;2;13416;3539
2020-12-01T16:15:00;1194;388;474;721;1;57;1950;3857;3866;3386;885;387;17885;16689;2;13446;3720
2020-12-01T16:30:00;1197;390;489;716;0;57;1951;3854;3871;3426;869;388;18052;16847;7;13490;3718
2020-12-01T16:45:00;1202;382;488;708;0;57;1953;3853;3869;3433;866;401;18125;16928;3;13509;3703
2020-12-01T17:00:00;1210;349;502;702;0;57;1952;3830;3868;3453;1068;430;18260;17056;2;13533;3888
2020-12-01T17:15:00;1211;376;480;709;0;57;1953;3847;3875;3456;1137;430;18289;17100;3;13561;3970
2020-12-01T17:30:00;1216;403;447;689;0;57;1954;3845;3874;3452;1039;426;18284;17148;2;13551;3851
2020-12-01T17:45:00;1217;387;426;687;0;57;1955;3858;3876;3445;1004;423;18274;17161;2;13557;3778
2020-12-01T18:00:00;1222;391;414;686;0;57;1954;3900;3880;3449;958;413;18182;17082;1;13596;3728
2020-12-01T18:15:00;1217;396;397;694;0;57;1955;3908;3873;3446;806;411;18097;17007;2;13593;3567
2020-12-01T18:30:00;1211;396;390;693;0;57;1956;3913;3876;3448;830;390;18011;16928;2;13583;3577
2020-12-01T18:45:00;1211;396;378;682;0;57;1957;3940;3879;3413;817;377;17978;16918;2;13566;3541
2020-12-01T19:00:00;1205;412;364;676;0;57;1957;3952;3874;3402;837;370;17782;16742;3;13555;3551
2020-12-01T19:15:00;1204;391;367;666;0;57;1957;3957;3867;3386;801;337;17574;16541;4;13504;3486
2020-12-01T19:30:00;1206;393;395;653;0;57;1957;3976;3864;3364;697;326;17422;16374;4;13487;3401
2020-12-01T19:45:00;1204;385;400;625;0;57;1958;3971;3861;3315;618;326;17241;16215;29;13431;3289
2020-12-01T20:00:00;1187;399;381;616;0;57;1958;3994;3850;3253;457;327;16909;15913;27;13382;3097
2020-12-01T20:15:00;1182;396;366;603;0;57;1958;3991;3812;3233;308;327;16664;15696;27;13321;2912
2020-12-01T20:30:00;1182;399;366;588;0;57;1958;3978;3800;3221;163;327;16505;15552;34;13284;2755
2020-12-01T20:45:00;1181;379;371;568;0;57;1958;3981;3777;3173;117;327;16324;15385;73;13216;2673
2020-12-01T21:00:00;1172;395;368;544;0;57;1959;3983;3759;3126;176;328;16130;15218;56;13155;2712
2020-12-01T21:15:00;1172;363;365;524;0;57;1959;3971;3751;3080;132;329;15874;14985;85;13090;2613
2020-12-01T21:30:00;1170;360;350;508;0;57;1961;3965;3723;3031;87;329;15642;14784;109;13009;2532
2020-12-01T21:45:00;1169;397;338;487;0;57;1961;3973;3612;3004;34;329;15469;14645;249;12879;2482
2020-12-01T22:00:00;1163;406;339;471;0;58;1963;3987;3491;2976;117;328;15427;14618;156;12745;2554
2020-12-01T22:15:00;1161;396;344;462;0;58;1963;3981;3431;2971;87;329;15238;14432;193;12675;2508
2020-12-01T22:30:00;1160;389;336;445;0;58;1963;3971;3405;2947;54;329;14947;14167;208;12615;2442
2020-12-01T22:45:00;1157;367;329;444;0;58;1964;3951;3338;2907;27;329;14711;13939;275;12489;2382
2020-12-01T23:00:00;1149;401;315;453;0;58;1965;3954;3288;2870;75;328;14455;13687;376;12405;2451
2020-12-01T23:15:00;1148;386;319;469;0;58;1965;3958;3225;2879;49;327;14255;13467;433;12354;2429
2020-12-01T23:30:00;1145;375;320;484;0;58;1965;3957;3217;2875;39;328;14027;13224;514;12342;2421
2020-12-01T23:45:00;1149;361;306;495;0;58;1964;3947;3210;2881;1;328;13858;13057;641;12330;2370
2020-12-02T00:00:00;1142;402;281;488;0;58;1964;3913;3192;2857;0;315;13612;12843;834;12241;2371
2020-12-02T00:15:00;1141;384;274;467;0;58;1967;3898;3199;2889;1;315;13475;12734;926;12268;2325
2020-12-02T00:30:00;1139;373;269;463;0;57;1966;3901;3171;2879;1;314;13348;12616;1114;12231;2302
2020-12-02T00:45:00;1144;355;251;455;0;57;1966;3876;3165;2873;0;314;13211;12506;1162;12194;2262
2020-12-02T01:00:00;1134;394;228;448;0;57;1967;3854;3177;2874;6;314;13032;12357;1119;12186;2267
2020-12-02T01:15:00;1132;374;211;451;0;57;1969;3838;3138;2866;5;314;12941;12280;1173;12125;2230
2020-12-02T01:30:00;1135;374;207;455;0;57;1968;3836;3049;2867;3;314;12895;12234;1176;12034;2231
2020-12-02T01:45:00;1136;368;222;463;0;57;1968;3785;2987;2860;3;314;12796;12111;1162;11914;2249
2020-12-02T02:00:00;1138;355;234;471;0;57;1969;3755;2939;2834;3;314;12691;11987;1179;11811;2258
2020-12-02T02:15:00;1135;361;246;477;0;57;1970;3745;2929;2829;3;314;12681;11959;1209;11787;2279
2020-12-02T02:30:00;1134;360;238;479;0;57;1969;3735;2885;2848;3;314;12709;11992;1243;11751;2271
2020-12-02T02:45:00;1135;363;231;489;0;57;1969;3737;2853;2854;3;314;12784;12064;1246;11727;2278
2020-12-02T03:00:00;1134;351;229;480;0;57;1973;3745;2805;2821;0;314;12777;12068;1309;11658;2251
2020-12-02T03:15:00;1134;350;215;472;0;57;1971;3746;2785;2816;0;314;12781;12094;1294;11632;2228
2020-12-02T03:30:00;1134;348;207;464;0;57;1973;3754;2787;2806;1;314;12850;12179;1279;11634;2211
2020-12-02T03:45:00;1138;349;206;458;0;57;1973;3764;2784;2819;8;314;12877;12213;1243;11654;2216
2020-12-02T04:00:00;1134;352;199;455;0;57;1975;3755;2792;2849;17;314;12978;12323;1164;11685;2214
2020-12-02T04:15:00;1134;354;196;451;0;57;1976;3747;2846;2907;15;314;13037;12390;1145;11790;2207
2020-12-02T04:30:00;1138;354;196;442;0;57;1976;3750;2925;2918;16;314;13204;12566;1143;11883;2203
2020-12-02T04:45:00;1143;366;198;435;0;57;1976;3778;3030;2933;15;315;13269;12637;1187;12032;2214
2020-12-02T05:00:00;1151;375;197;428;0;58;1975;3826;3111;2988;14;315;13540;12916;936;12215;2223
2020-12-02T05:15:00;1148;381;196;436;0;58;1976;3861;3178;3034;15;315;13713;13081;889;12364;2234
2020-12-02T05:30:00;1144;384;197;435;0;58;1977;3901;3228;3078;45;315;14036;13405;810;12499;2263
2020-12-02T05:45:00;1148;386;182;438;0;58;1977;3939;3298;3131;51;313;14359;13739;704;12658;2263
2020-12-02T06:00:00;1159;392;163;440;0;58;1976;3938;3345;3131;38;314;15044;14442;635;12704;2250
2020-12-02T06:15:00;1168;387;168;435;0;58;1978;3984;3399;3187;71;314;15558;14956;367;12862;2287
2020-12-02T06:30:00;1171;387;180;436;0;57;1980;4017;3455;3250;114;314;16007;15391;281;13016;2345
2020-12-02T06:45:00;1174;396;196;441;0;58;1981;3984;3491;3304;166;314;16378;15741;219;13074;2431
2020-12-02T07:00:00;1185;349;193;445;0;58;1979;3937;3521;3349;205;314;16784;16146;135;13100;2435
2020-12-02T07:15:00;1191;358;189;454;0;58;1980;3978;3535;3379;211;315;17073;16431;62;13187;2461
2020-12-02T07:30:00;1189;353;196;454;3;58;1981;3995;3539;3394;312;311;17243;16591;53;13220;2565
2020-12-02T07:45:00;1188;342;207;458;18;58;1980;4054;3537;3395;331;317;17407;16724;39;13283;2602
2020-12-02T08:00:00;1195;376;209;458;53;58;1980;4081;3540;3364;480;350;17594;16875;45;13315;2829
2020-12-02T08:15:00;1200;373;212;458;84;58;1982;4111;3538;3350;512;364;17689;16936;19;13345;2897
2020-12-02T08:30:00;1202;379;212;452;141;58;1982;4101;3541;3351;621;368;17769;16963;4;13343;3065
2020-12-02T08:45:00;1209;351;224;448;207;58;1982;4090;3544;3410;553;369;17792;16913;13;13395;3050
2020-12-02T09:00:00;1204;407;230;447;273;58;1984;4100;3542;3444;664;388;17801;16851;3;13458;3283
2020-12-02T09:15:00;1195;381;225;425;348;58;1984;4092;3548;3444;676;377;17839;16840;3;13445;3308
2020-12-02T09:30:00;1200;397;220;413;439;58;1984;4089;3543;3447;632;370;17876;16805;2;13433;3359
2020-12-02T09:45:00;1204;398;215;398;525;58;1984;4084;3543;3444;694;372;17969;16831;2;13427;3492
2020-12-02T10:00:00;1204;466;224;379;602;58;1985;4096;3544;3421;1110;374;18015;16811;0;13420;4043
2020-12-02T10:15:00;1200;474;217;342;686;57;1985;4076;3546;3414;1255;389;18069;16824;0;13410;4231
2020-12-02T10:30:00;1208;477;209;309;758;57;1987;4076;3548;3382;1338;401;18163;16887;0;13394;4356
2020-12-02T10:45:00;1205;466;190;286;820;57;1988;4071;3554;3383;1294;433;18200;16904;0;13429;4318
2020-12-02T11:00:00;1197;446;178;275;896;57;1987;4078;3562;3402;1175;432;18248;16900;0;13461;4224
2020-12-02T11:15:00;1203;471;174;261;964;57;1987;4079;3555;3422;1157;433;18324;16925;0;13476;4287
2020-12-02T11:30:00;1205;468;171;253;1008;57;1988;4082;3562;3444;1155;433;18332;16901;0;13509;4317
2020-12-02T11:45:00;1204;468;169;240;1023;57;1988;4080;3564;3466;1164;431;18384;16952;0;13529;4325
2020-12-02T12:00:00;1192;441;154;232;1032;57;1989;4089;3561;3490;823;431;18176;16759;1;13560;3931
2020-12-02T12:15:00;1189;440;139;224;1034;57;1989;4086;3560;3500;784;431;18169;16772;1;13566;3867
2020-12-02T12:30:00;1195;458;145;224;1014;57;1990;4085;3562;3497;846;431;18181;16798;2;13565;3939
2020-12-02T12:45:00;1194;450;149;234;980;57;1991;4083;3568;3497;784;438;18116;16754;4;13577;3848
2020-12-02T13:00:00;1189;448;150;235;926;57;1990;4098;3577;3494;780;437;18232;16920;6;13596;3785
2020-12-02T13:15:00;1194;448;159;240;865;57;1991;4090;3568;3483;818;437;18222;16959;2;13569;3781
2020-12-02T13:30:00;1188;446;172;251;787;57;1991;4089;3521;3486;794;435;18105;16896;2;13522;3695
2020-12-02T13:45:00;1181;442;184;266;699;57;1991;4088;3526;3491;687;435;18008;16859;2;13531;3516
2020-12-02T14:00:00;1174;418;192;273;602;57;1991;4088;3485;3479;589;413;18011;16945;18;13456;3305
2020-12-02T14:15:00;1176;427;199;272;509;57;1992;4081;3483;3469;565;398;18015;17035;31;13423;3205
2020-12-02T14:30:00;1183;437;207;307;415;57;1994;4078;3481;3481;579;387;18021;17091;34;13421;3185
2020-12-02T14:45:00;1177;439;217;319;326;57;1994;4081;3472;3487;597;387;18013;17152;41;13421;3132
2020-12-02T15:00:00;1179;439;227;369;225;57;1993;4082;3472;3491;457;387;18034;17214;27;13425;2953
2020-12-02T15:15:00;1178;441;254;391;143;57;1994;4093;3474;3497;488;385;18043;17255;15;13443;2952
2020-12-02T15:30:00;1181;450;290;438;73;57;1996;4097;3475;3499;527;382;18006;17205;12;13449;3016
2020-12-02T15:45:00;1188;441;301;477;21;57;1996;4098;3473;3498;502;379;17908;17110;22;13444;2987
2020-12-02T16:00:00;1195;428;309;545;10;57;1996;4101;3474;3494;362;363;18033;17170;20;13428;2906
2020-12-02T16:15:00;1198;435;325;616;1;57;1995;4107;3475;3488;374;367;18171;17229;30;13432;3006
2020-12-02T16:30:00;1195;425;360;669;0;57;1994;4084;3480;3491;437;394;18336;17307;39;13443;3143
2020-12-02T16:45:00;1200;429;385;719;0;57;1995;4090;3509;3504;504;385;18450;17346;26;13483;3294
2020-12-02T17:00:00;1201;437;408;770;0;57;1996;4076;3598;3530;732;395;18458;17280;2;13595;3605
2020-12-02T17:15:00;1203;409;433;830;0;57;1998;4084;3672;3532;700;404;18413;17151;2;13690;3632
2020-12-02T17:30:00;1210;407;441;879;0;57;1998;4075;3708;3534;656;414;18412;17092;2;13729;3650
2020-12-02T17:45:00;1208;401;467;898;0;58;1999;4090;3711;3542;628;413;18412;17047;3;13755;3660
2020-12-02T18:00:00;1209;406;497;915;0;57;2000;4099;3691;3539;708;402;18263;16851;3;13731;3792
2020-12-02T18:15:00;1210;406;500;926;0;58;2000;4112;3662;3538;652;398;18168;16742;3;13710;3752
2020-12-02T18:30:00;1211;420;548;962;0;58;2000;4103;3679;3537;612;397;18121;16612;3;13716;3811
2020-12-02T18:45:00;1213;424;573;998;0;58;2000;4108;3693;3519;551;363;18021;16451;2;13683;3817
2020-12-02T19:00:00;1208;432;602;1003;0;58;2000;4105;3702;3498;483;350;17998;16393;3;13655;3786
2020-12-02T19:15:00;1203;408;620;1051;0;58;2000;4104;3694;3457;470;317;17832;16162;3;13572;3810
2020-12-02T19:30:00;1202;393;645;1104;0;58;2000;4101;3690;3436;418;313;17627;15879;3;13540;3820
2020-12-02T19:45:00;1204;391;631;1162;0;58;2000;4092;3690;3362;365;313;17466;15674;4;13457;3811
2020-12-02T20:00:00;1190;429;638;1201;0;58;2002;4103;3698;3201;241;314;17236;15397;4;13318;3757
2020-12-02T20:15:00;1186;397;689;1220;0;58;2002;4104;3677;3120;133;314;16987;15079;4;13217;3683
2020-12-02T20:30:00;1183;400;735;1218;0;58;2003;4099;3609;3100;119;315;16777;14824;26;13126;3713
2020-12-02T20:45:00;1182;385;774;1242;0;58;2003;4104;3564;3092;62;314;16514;14498;112;13077;3703
2020-12-02T21:00:00;1175;426;820;1271;0;58;2003;4106;3457;3098;316;314;16443;14353;38;12978;4066
2020-12-02T21:15:00;1175;374;862;1294;0;58;2003;4095;3416;3071;163;314;16218;14061;9;12899;3926
2020-12-02T21:30:00;1179;374;894;1318;0;58;2002;4052;3372;3068;75;315;15972;13760;38;12809;3898
2020-12-02T21:45:00;1177;371;937;1320;0;58;2004;3978;3370;2964;44;315;15778;13521;122;12631;3907
2020-12-02T22:00:00;1170;375;995;1346;0;58;2004;3925;3340;2933;139;315;15761;13421;48;12517;4083
2020-12-02T22:15:00;1170;368;1046;1375;0;58;2004;3876;3300;2933;71;316;15617;13196;97;12429;4088
2020-12-02T22:30:00;1162;369;1080;1410;0;58;2003;3827;3232;2920;56;316;15322;12833;150;12298;4135
2020-12-02T22:45:00;1156;370;1078;1433;0;58;1989;3743;3140;2909;6;316;15056;12546;360;12097;4101
2020-12-02T23:00:00;1155;416;1121;1459;0;58;1970;3672;3004;2869;86;317;14813;12234;420;11832;4295
2020-12-02T23:15:00;1154;387;1179;1494;0;58;1950;3638;2824;2872;46;318;14604;11932;496;11602;4318
2020-12-02T23:30:00;1155;378;1247;1537;0;58;1933;3600;2699;2873;23;317;14439;11655;637;11422;4398
2020-12-02T23:45:00;1147;375;1334;1587;0;58;1931;3555;2549;2893;29;317;14315;11395;749;11245;4530
2020-12-03T00:00:00;1136;391;1388;1607;0;58;1932;3547;2239;2847;4;318;14131;11136;834;10883;4584
2020-12-03T00:15:00;1137;375;1393;1621;0;58;1933;3515;2026;2860;11;317;13959;10946;901;10651;4595
2020-12-03T00:30:00;1135;370;1392;1647;0;58;1933;3520;1894;2775;6;317;13847;10809;880;10439;4608
2020-12-03T00:45:00;1134;387;1409;1669;0;58;1933;3492;1814;2761;3;317;13734;10657;920;10317;4660
2020-12-03T01:00:00;1133;403;1431;1684;0;58;1933;3484;1790;2771;33;317;13490;10375;806;10295;4742
2020-12-03T01:15:00;1136;400;1461;1687;0;58;1933;3480;1732;2795;20;317;13387;10239;879;10257;4762
2020-12-03T01:30:00;1138;390;1476;1691;0;58;1933;3487;1706;2782;3;317;13349;10182;933;10225;4756
2020-12-03T01:45:00;1138;381;1489;1714;0;58;1932;3462;1715;2766;0;317;13315;10111;994;10192;4780
2020-12-03T02:00:00;1138;399;1495;1720;0;58;1934;3448;1746;2743;6;317;13253;10038;943;10188;4816
2020-12-03T02:15:00;1138;388;1500;1732;0;58;1935;3437;1755;2747;1;317;13190;9958;1004;10191;4817
2020-12-03T02:30:00;1138;388;1498;1769;0;58;1934;3438;1747;2754;0;317;13222;9956;969;10190;4851
2020-12-03T02:45:00;1139;383;1489;1816;0;58;1935;3416;1731;2765;9;316;13195;9890;980;10163;4894
2020-12-03T03:00:00;1138;388;1495;1846;0;58;1936;3400;1729;2762;11;318;13234;9893;970;10145;4936
2020-12-03T03:15:00;1135;378;1467;1911;0;58;1937;3380;1758;2760;0;318;13204;9826;1014;10153;4949
2020-12-03T03:30:00;1138;382;1442;1954;0;58;1937;3365;1810;2759;0;317;13274;9879;1076;10188;4974
2020-12-03T03:45:00;1138;380;1420;1971;0;58;1938;3320;1841;2761;2;317;13325;9934;1104;10177;4969
2020-12-03T04:00:00;1140;379;1406;1996;0;58;1938;3271;1867;2795;4;317;13496;10095;1020;10188;4983
2020-12-03T04:15:00;1137;376;1380;2031;0;58;1938;3267;1914;2810;3;318;13515;10104;982;10247;4985
2020-12-03T04:30:00;1141;378;1387;2052;0;58;1939;3274;1959;2821;3;318;13688;10249;970;10311;5019
2020-12-03T04:45:00;1140;378;1374;2099;0;57;1940;3313;1984;2833;3;319;13825;10353;970;10389;5051
2020-12-03T05:00:00;1142;376;1359;2127;0;57;1940;3391;2002;2913;3;315;14207;10722;854;10561;5064
2020-12-03T05:15:00;1141;375;1307;2169;0;58;1939;3439;2079;2942;14;315;14351;10875;860;10714;5064
2020-12-03T05:30:00;1143;376;1218;2185;0;58;1940;3500;2157;2974;5;314;14561;11158;652;10885;4985
2020-12-03T05:45:00;1145;387;1154;2232;0;58;1942;3537;2280;2999;6;314;14905;11519;559;11072;4982
2020-12-03T06:00:00;1153;386;1119;2241;0;58;1933;3609;2363;3020;43;309;15576;12217;168;11234;5000
2020-12-03T06:15:00;1159;414;1102;2257;0;58;1930;3658;2513;3091;148;315;16025;12666;45;11507;5138
2020-12-03T06:30:00;1160;395;1050;2315;0;58;1932;3659;2665;3137;216;352;16434;13068;3;11745;5194
2020-12-03T06:45:00;1169;418;1005;2396;0;58;1931;3663;2821;3167;332;389;16806;13405;3;11971;5378
2020-12-03T07:00:00;1186;379;958;2464;0;58;1929;3689;2879;3268;814;395;17371;13949;12;12160;5859
2020-12-03T07:15:00;1191;391;930;2508;0;58;1933;3743;2914;3382;855;395;17626;14189;4;12367;5933
2020-12-03T07:30:00;1192;400;914;2561;2;57;1933;3750;2919;3410;969;399;17886;14410;2;12411;6095
2020-12-03T07:45:00;1191;413;869;2642;19;57;1934;3776;2932;3403;1162;400;18054;14525;1;12445;6353
2020-12-03T08:00:00;1197;402;833;2693;47;57;1920;3878;2967;3431;847;401;18251;14678;1;12597;6076
2020-12-03T08:15:00;1198;399;850;2784;34;57;1913;3974;2982;3469;834;400;18419;14752;1;12738;6156
2020-12-03T08:30:00;1199;394;888;2828;44;57;1913;3980;2982;3515;727;399;18521;14762;1;12789;6137
2020-12-03T08:45:00;1202;373;925;2858;71;57;1912;3969;2982;3526;662;399;18557;14703;2;12788;6148
2020-12-03T09:00:00;1199;410;966;2864;104;57;1913;4000;2978;3510;747;400;18544;14610;4;12801;6347
2020-12-03T09:15:00;1193;406;1044;2880;152;57;1913;4013;2977;3514;755;399;18646;14571;2;12816;6487
2020-12-03T09:30:00;1189;403;1060;2859;197;57;1914;4008;2970;3524;755;401;18716;14600;2;12817;6520
2020-12-03T09:45:00;1193;402;1094;2873;246;57;1915;3999;2964;3537;837;400;18832;14620;2;12815;6702
2020-12-03T10:00:00;1189;415;1095;2885;296;57;1915;4024;2949;3521;932;399;18802;14526;2;12808;6869
2020-12-03T10:15:00;1185;400;1076;2917;344;57;1916;4009;2945;3519;718;398;18818;14481;2;12787;6697
2020-12-03T10:30:00;1183;397;1083;2962;390;57;1916;4007;2924;3520;847;400;18912;14477;2;12767;6919
2020-12-03T10:45:00;1186;393;1125;2966;433;57;1910;4005;2915;3489;851;400;19005;14482;2;12719;7011
2020-12-03T11:00:00;1182;386;1166;2984;477;57;1910;4027;2910;3425;725;401;18939;14312;2;12673;6977
2020-12-03T11:15:00;1180;405;1216;2968;537;57;1910;4021;2887;3407;714;401;19054;14333;10;12626;7077
2020-12-03T11:30:00;1174;388;1295;2995;589;57;1911;4013;2882;3405;608;404;19123;14244;2;12615;7106
2020-12-03T11:45:00;1172;384;1330;2991;638;57;1911;3998;2880;3407;511;403;19195;14236;2;12599;7083
2020-12-03T12:00:00;1162;406;1344;3019;688;57;1912;3970;2876;3367;321;404;19164;14114;2;12529;6997
2020-12-03T12:15:00;1159;370;1325;3041;742;57;1913;3977;2876;3369;230;405;19111;14003;2;12540;6924
2020-12-03T12:30:00;1161;360;1316;3036;766;57;1899;3973;2874;3370;188;403;19100;13983;2;12519;6884
